第0回,8,9,0,15,31,17
第1回,1,3,17,20,25,26
第2回,2,11,12,21,30,28
第3回,1,8,10,24,30,28
第4回,11,12,14,20,31,29
第5回,8,9,15,21,25,23
第6回,2,11,16,24,29,4
第7回,3,24,25,26,31,2
第8回,22,24,25,28,30,21
第9回,2,11,12,13,28,15
第10回,8,19,21,23,30,5
第11回,17,18,19,20,30,31
第12回,5,9,13,16,19,21
第13回,6,11,18,25,28,20
第14回,2,21,24,26,29,28
第15回,6,8,17,23,24,22
第16回,2,20,24,26,27,23
第17回,10,18,20,25,27,1
第18回,1,14,16,23,25,27
第19回,2,9,10,22,27,1
第20回,14,20,22,25,30,15
第21回,3,15,22,25,31,6
第22回,4,6,26,28,30,14
第23回,2,13,18,22,26,15
第24回,12,14,19,26,28,15
第25回,2,3,7,18,29,15
第26回,7,8,9,14,15,4
第27回,10,16,20,21,31,14
第28回,2,9,15,22,29,11
第29回,9,12,17,26,31,15
第30回,10,15,17,18,30,16
第31回,14,20,21,24,28,17
第32回,2,11,13,16,24,20
第33回,2,3,8,9,30,23
第34回,4,9,18,28,29,12
第35回,10,11,18,24,26,29
第36回,4,8,15,16,21,25
第37回,6,7,10,16,31,20
第38回,11,16,17,19,31,4
第39回,1,9,15,26,30,11
第40回,4,16,24,25,27,5
第41回,10,16,19,22,26,29
第42回,2,5,19,24,31,28
第43回,3,6,11,16,30,5
第44回,5,18,20,25,27,11
第45回,7,13,19,24,26,11
第46回,2,10,22,23,26,6
第47回,2,6,8,17,29,10
第48回,2,9,11,13,31,18
第49回,10,13,14,23,25,12
第50回,4,5,6,8,10,26
第51回,5,7,15,16,31,2
第52回,4,10,12,26,31,20
第53回,4,13,14,15,17,30
第54回,4,5,15,18,21,16
第55回,4,10,11,18,31,3
第56回,1,3,7,10,27,16
第57回,3,21,23,27,29,13
第58回,1,2,4,10,24,20
第59回,9,15,20,21,22,10
第60回,16,17,22,23,26,30
第61回,9,23,24,29,30,5
第62回,5,10,13,17,29,6
第63回,3,5,6,22,28,1
第64回,5,10,11,12,23,15
第65回,8,9,10,17,23,15
第66回,5,6,12,17,20,1
第67回,4,5,8,14,27,6
第68回,5,6,21,22,24,11
第69回,5,6,9,23,30,2
第70回,1,5,7,17,21,15
第71回,11,17,18,22,30,2
第72回,8,10,24,28,30,12
第73回,4,6,8,26,30,7
第74回,4,6,16,22,28,9
第75回,7,14,16,17,29,1
第76回,6,11,13,16,23,3
第77回,2,3,10,22,26,23
第78回,4,11,19,20,22,28
第79回,2,13,16,26,30,11
第80回,7,10,13,18,22,4
第81回,1,7,10,16,25,18
第82回,1,3,11,27,30,8
